" 3D Run ID","Lcav","Xcav"
"1","15","1"
"2","15.2","1"
"3","15.4","1"
"4","15.6","1"
"5","15.8","1"
"6","16","1"
"7","16.2","1"
"8","16.4","1"
"9","16.6","1"
"10","16.8","1"
"11","17","1"
"12","15","1.25"
"13","15.2","1.25"
"14","15.4","1.25"
"15","15.6","1.25"
"16","15.8","1.25"
"17","16","1.25"
"18","16.2","1.25"
"19","16.4","1.25"
"20","16.6","1.25"
"21","16.8","1.25"
"22","17","1.25"
"23","15","1.5"
"24","15.2","1.5"
"25","15.4","1.5"
"26","15.6","1.5"
"27","15.8","1.5"
"28","16","1.5"
"29","16.2","1.5"
"30","16.4","1.5"
"31","16.6","1.5"
"32","16.8","1.5"
"33","17","1.5"
"34","15","1.75"
"35","15.2","1.75"
"36","15.4","1.75"
"37","15.6","1.75"
"38","15.8","1.75"
"39","16","1.75"
"40","16.2","1.75"
"41","16.4","1.75"
"42","16.6","1.75"
"43","16.8","1.75"
"44","17","1.75"
"45","15","2"
"46","15.2","2"
"47","15.4","2"
"48","15.6","2"
"49","15.8","2"
"50","16","2"
"51","16.2","2"
"52","16.4","2"
"53","16.6","2"
"54","16.8","2"
"55","17","2"
"56","15","2.25"
"57","15.2","2.25"
"58","15.4","2.25"
"59","15.6","2.25"
"60","15.8","2.25"
"61","16","2.25"
"62","16.2","2.25"
"63","16.4","2.25"
"64","16.6","2.25"
"65","16.8","2.25"
"66","17","2.25"
"67","15","2.5"
"68","15.2","2.5"
"69","15.4","2.5"
"70","15.6","2.5"
"71","15.8","2.5"
"72","16","2.5"
"73","16.2","2.5"
"74","16.4","2.5"
"75","16.6","2.5"
"76","16.8","2.5"
"77","17","2.5"
"78","15","2.75"
"79","15.2","2.75"
"80","15.4","2.75"
"81","15.6","2.75"
"82","15.8","2.75"
"83","16","2.75"
"84","16.2","2.75"
"85","16.4","2.75"
"86","16.6","2.75"
"87","16.8","2.75"
"88","17","2.75"
"89","15","3"
"90","15.2","3"
"91","15.4","3"
"92","15.6","3"
"93","15.8","3"
"94","16","3"
"95","16.2","3"
"96","16.4","3"
"97","16.6","3"
"98","16.8","3"
"99","17","3"
"100","15","3.25"
"101","15.2","3.25"
"102","15.4","3.25"
"103","15.6","3.25"
"104","15.8","3.25"
"105","16","3.25"
"106","16.2","3.25"
"107","16.4","3.25"
"108","16.6","3.25"
"109","16.8","3.25"
"110","17","3.25"
"111","15","3.5"
"112","15.2","3.5"
"113","15.4","3.5"
"114","15.6","3.5"
"115","15.8","3.5"
"116","16","3.5"
"117","16.2","3.5"
"118","16.4","3.5"
"119","16.6","3.5"
"120","16.8","3.5"
"121","17","3.5"
"122","15","3.75"
"123","15.2","3.75"
"124","15.4","3.75"
"125","15.6","3.75"
"126","15.8","3.75"
"127","16","3.75"
"128","16.2","3.75"
"129","16.4","3.75"
"130","16.6","3.75"
"131","16.8","3.75"
"132","17","3.75"
"133","15","4"
"134","15.2","4"
"135","15.4","4"
"136","15.6","4"
"137","15.8","4"
"138","16","4"
"139","16.2","4"
"140","16.4","4"
"141","16.6","4"
"142","16.8","4"
"143","17","4"
"144","15","4.25"
"145","15.2","4.25"
"146","15.4","4.25"
"147","15.6","4.25"
"148","15.8","4.25"
"149","16","4.25"
"150","16.2","4.25"
"151","16.4","4.25"
"152","16.6","4.25"
"153","16.8","4.25"
"154","17","4.25"
"155","15","4.5"
"156","15.2","4.5"
"157","15.4","4.5"
"158","15.6","4.5"
"159","15.8","4.5"
"160","16","4.5"
"161","16.2","4.5"
"162","16.4","4.5"
"163","16.6","4.5"
"164","16.8","4.5"
"165","17","4.5"
"166","15","4.75"
"167","15.2","4.75"
"168","15.4","4.75"
"169","15.6","4.75"
"170","15.8","4.75"
"171","16","4.75"
"172","16.2","4.75"
"173","16.4","4.75"
"174","16.6","4.75"
"175","16.8","4.75"
"176","17","4.75"
"177","15","5"
"178","15.2","5"
"179","15.4","5"
"180","15.6","5"
"181","15.8","5"
"182","16","5"
"183","16.2","5"
"184","16.4","5"
"185","16.6","5"
"186","16.8","5"
"187","17","5"
"0","",""
